Nazwa,Nazwa przedsięwzięcia,Miejsce Realizacji Województwo,Grantobiorca Miejscowość,Grantobiorca Ulica,Grantobiorca Nr budynku,Grantobiorca Kod pocztowy,Wartość wsparcia
Restauracja Marek Wzgarda,"Rozwój firmy poprzez dywersyfikację i nowe usługi, szansą na ochronę przed przyszłymi konsekwencjami negatywnych wydarzeń losowych",ŚLĄSKIE,Będzin,Józefa Retingera,1,42-500,446668.67
Dziedzice spółka z ograniczoną odpowiedzialnością,"Uruchomienie miejsc noclegowych w schronisku Dębowiec w województwie śląskim, jako dywersyfikacja działalności w formie nowej oferty usług turystycznych.",ŚLĄSKIE,Czechowice-Dziedzice,Legionów,83A,43-502,540000
Gościniec Paradise Katarzyna Kańtoch,Dywersyfikacja działalności przedsiębiorstwa poprzez wprowadzenie usług komplementarnych prowadzącego działalność w zakresie usług turystycznych w regionie śląskim.,ŚLĄSKIE,Przeczyce,21 Stycznia,50A,42-460,149617.89
KRE - ACTIVE JOANNA GARUS,"Uruchomienie nowych usług w przedsiębiorstwie KRE - ACTIVE JOANNA GARUS (region 4, województwo śląskie )",ŚLĄSKIE,Gliwice,Górna,35,44-100,181959
KRIS-POL FIRMA HANDLOWO USŁUGOWA KRYSTIAN STOLA,Wzrost odporności Kris-Pol Firma Handlowo Usługowa Krystian Stola z województwa śląskiego poprzez działania inwestycyjne w restauracji Gabriella w Gliwicach,ŚLĄSKIE,Gliwice,Żywiecka,6,44-164,414000
Solaris International Sp. z .o.o.,Budowa strefy SPA oraz instalacji fotowoltaicznej w Hotelu Country Club Żywiec w woj. śląskim,ŚLĄSKIE,Chrzanów,Profesora Henryka Jordana,14A,32-500,376992
"FIRMA ""BANKIET"" DARIUSZ TRZMIELAK","Przedsięwzięcie będzie polegało na rozszerzeniu działalności o pozostałe usługi działalności gastronomicznej związane z świadczeniem ich w obiektach sportowych oraz na rozbudowaniu oferty produktowej. Działania będą realizowane w ramach komponentu inwestycyjnego, doradczego oraz szkoleniowego. Przedsięwzięcie będzie realizowane w województwie Łódzkim. Region 4 zgodnie z podziałem obszarów w zakresie Inwestycji A1.2.1 KPO.",ŁÓDZKIE,Łódź,Cyprysowa,13B,91-365,418893.95
Bratosiewicz Ireneusz Bratosiewicz,Dywersyfikacja działalności firmy “Bratosiewicz” Ireneusz Bratosiewicz o usługi związane ze zrównoważoną turystyką w województwie opolskim,OPOLSKIE,Lubska,,11B,46-113,540000
GIPSY KINGS Przedsiębiorstwo Handlowo-Usługowe Janusz Borowiec,Inwestycje w dywersyfikację działalności w województwie śląskim,ŚLĄSKIE,Gliwice,Stanisława Witkiewicza,16,44-100,481501.4
BZYKAJĄCE SPA Jadwiga Jagoda,"Wprowadzenie na rynku opolskim usług wynajmu rowerów elektrycznych ładowanych ze źródeł odnawialnych, oraz maszyny do wyrzucania piłek tenisowych. Zadanie inwestycyjne realizowane w Regionie 4 - obejmującym województwa łódzkie, opolskie, śląskie przez przedsiębiorstwo Bzykające Spa Jadwiga Jagoda mające na celu rozszerzenie profilu dotychczasowej działalności firmy dotkniętej pandemią COVID-19 w Polsce.",OPOLSKIE,Chocianowice,,223,46-280,522234.47
Spółdzielnia Socjalna Honolulu,Dywersyfikacja i zwiększenie potencjału oferty gastronomicznej lokalu Drzwi Zwane Koniem [Region 4] - poprawiony,ŚLĄSKIE,Katowice,Koszalińska,18,40-717,437800
"Agencja Wydarzeń Artystycznych ""PRO CINEMA"" ""Kino Charlie"" Sławomir Fijałkowski",Dywersyfikacja usług i uruchomienie kawiarni w Kinie Charlie w Łodzi,ŁÓDZKIE,Łódź,Piotrkowska,203/205,90-451,491715
MOC NATURY SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,"Rozszerzenie działalności prowadzonej przez MOC NATURY SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ w regionie śląskim w celu ograniczenia skutkówkryzysu wywołanego przez COVID-19”,ŚLĄSKIE,Jastrzębie-Zdrój,1 Maja,49,44-333,504000
Usługi w Zakresie Kultury Fizycznej Tomasz Makowski,Rozszerzenie działalności o instalację systemu informatycznego SOLO Workout oraz doposażenie strefy SPA w Fitness Klubie Olimpia Gym & Spa Be Happy"" w Bełchatowie w województwie łódzkim mające na celu zwiększenie grup docelowych dzięki cyfryzacji i doposażeniu strefy SPA, zwiększenie dochodów oraz przywiązanie klientów do Klubu.",ŁÓDZKIE,Bełchatów,Lucjana Nehrebeckiego,18,97-400,126334.12
Restauracja-Hotel Korona s.c. Halina Juraszek," Alina Juraszek,Unowocześnienie obiektu restauracyjno-hotelowego wraz z rozszerzeniem oferty usługowej w celu uodpornienia przedsiębiorstwa z województwa śląskiego na sytuacje kryzysowe",ŚLĄSKIE,Gliwice,Traktorzystów,65,44-151,539999.97
"DOM PRZYJĘĆ OKOLICZNOŚCIOWYCH ""CAMILLA"" S.C.",Dywersyfikacja działalności i uodpornienie na przyszłe kryzysy poprzez wprowadzenie rozwiązań ekologicznych i nowych usług cateringowych - Region 4,ŚLĄSKIE,Częstochowa,Połaniecka,177A,42-209,303355.97
DELISSI SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Rozszerzenie działalności DELISSI SP. Z O.O. i uodpornienie na przyszłe kryzysy poprzez wprowadzenie do oferty nowych usług kawiarnianych i specjalistycznego oprogramowania w woj. śląskim - region 4,ŚLĄSKIE,Katowice,Jana Kochanowskiego,16,40-035,233805.75
PHU ADEK - Adrian Ryndak,"Rozwój i dywersyfikacja działalności PHU ADEK - Adrian Ryndak w regionie śląskim poprzez uruchomienie stałej produkcji tortów, ekspansję mobilnej sprzedaży oraz wprowadzenie cateringu z dostawą do klienta",ŚLĄSKIE,Kozy,Jaworowa,3,43-340,539100
STUDIO REKLAMY MGM RAFAŁ GROMADA,Zwiększenie odporności i rozszerzenie działalności STUDIO REKLAMY MGM RAFAŁGROMADA poprzez dywersyfikację usług świadczonych w województwie śląskim,ŚLĄSKIE,Katowice,Bałtycka,78,40-779,475052.22
FUNDACJA MINIONEJ EPOKI,"Rozszerzenie i dywersyfikacja działalności Muzeum Historii Polski Ludowej w Rudzie Śląskiej (Region 4 łódzkie, opolskie, śląskie)",ŚLĄSKIE,Ruda Śląska,Zajęcza,42,41-711,473405.57
Grępielnia M. Kozłowski i Wspólnicy Spółka Jawna,Restauracja w klasycznym stylu włoskim - uruchomienie nowej usługi gastronomicznej w Bielsku-Białej w województwie śląskim.,ŚLĄSKIE,Bielsko-Biała,Partyzantów,22,43-300,540000
Intercom Piotr Jezik," Michał Jezik, Krzysztof Skrobacki S.C,Rozszerzenie profilu dotychczasowej działalności przedsiębiorstwa „Intercom” Piotr Jezik, Michał Jezik, Krzysztof Skrobacki S.C. poprzez inwestycje mające na celu wdrożenie nowych usług, świadczonych w województwie śląskim.",ŚLĄSKIE,Gliwice,Rybnicka,7,44-100,473437.41
Na Błoniach Spółka z ograniczoną odpowiedzialnością,Rozszerzenie oraz dywersyfikacja działalności Hotelu „Na Błoniach” poprzez uruchomienie siłowni oraz strefy SPA (Region 4 woj. śląskie),ŚLĄSKIE,Bielsko-Biała,Pocztowa,39,43-300,292057.17
BAR WEGETARIAŃSKI S.C. MARIOLA PODDEMSKA," NATALIA WITOSZ,Dywersyfikacja działalności poprzez wprowadzenie oferty kateringu dla mieszkańców Katowic i Województwa Śląskiego Region 4.",ŚLĄSKIE,Katowice,Mariacka,1,40-014,253790.12
ASPEN Mikołaj Słomowicz,"Wzmocnienie i rozszerzenie oferty firmy poprzez wprowadzenie nowych usług podnoszących kompleksowość, atrakcyjność, jakość i prestiż usług w istniejących obiektach noclegowych.",ŚLĄSKIE,Międzybrodzie Bialskie,Kasperków,25,34-312,540000
"DOROTA LOSKA-MARZEC Przedsiębiorstwo Handlowo Usługowe ""RECH-MUS""","Zakup sprzętu i modernizacja obiektu SPA na terenie województwa śląskiego, umożliwiające dywersyfikację działalności poprzez znaczne ulepszenie i wprowadzenie usług dotąd nieświadczonych",ŚLĄSKIE,Przyszowice,Gierałtowicka,10,44-178,539999.98
LAVION WOJCIECH ŁOBODZIEC,Nasza nowa rzeczywistość w HoReCa,ŚLĄSKIE,Gliwice,,brak nr,44-100,514733.4
KOZAK BARBARA RESTAURACJA SANTANA,Wzmocnienie odporności biznesu poprzez działanie inwestycyjne wprowadzająceusługę w przedsiębiorstwie w ramach nowego kodu PKD 85.51.Z - realizacja naobszarze regionu 4 w województwie Śląskim,ŚLĄSKIE,Czechowice-Dziedzice,Mieczysława Michałowicza,4,43-502,522456.3
MAGIC SPORT TOMASZ BIENIEK," NATALIA BIENIEK SPÓŁKA CYWILNA,Poszerzenie działalności organizatora turystycznego o wprowadzenie nowychusług z zakresu działalności agenta turystycznego i wypożyczalni sprzętusportowego w województwie śląskim.",ŚLĄSKIE,Katowice,Stanisława Ignacego Witkiewicza,3,40-750,455279.24
Biuro Pielgrzymkowo - Turystyczne Apostolos Sp. z o.o.,"Adaptacja pomieszczeń na kawiarnię oraz salę multimedialną do prezentacji wycieczek i prowadzenia szkoleń w Biurze Pielgrzymkowo - Turystycznym Apostolos Sp. z o.o., województwo śląskie.",ŚLĄSKIE,Częstochowa,o. Augustyna Kordeckiego,49,42-226,538797.9
PIZZERIA RIPOSTA MARCIN GALIŃSKI,Dywersyfikacja działalności Pizzerii Riposta w województwie śląskim w ramach zwiększania konkurencyjności gospodarki i wspierania mikroprzedsiębiorstw (Region 4 - śląskie),ŚLĄSKIE,Bytom,Karola Szymanowskiego,2,41-902,122713.85
ART CAFE JOLANTA DUCHNIK,Dywersyfikacją działalności przedsiębiorstwa ART CAFE JOLANTA DUCHNIK przez wprowadzenie nowej usługi sprzedaży lodów i zwiększenie konkurencyjności przedsiębiorstwa (region 4 - łódzkie).,ŁÓDZKIE,Łódź,Cepowa,9,91-202,485611.92
RESTAURACJA JAN H.J.N. PAWEŁOSZEK SPÓŁKA JAWNA,Rozwój i dywersyfikacja Restauracji Jan,ŁÓDZKIE,Bełchatów,Lipowa,77,97-400,399488.69
Mieczysław Orzechowski P.H.U. SFINKS,Rozwój Przestrzeni Rekreacyjno-Gastronomicznej Klubokawiarni SFINKS w Częstochowie z Elementami Zrównoważonego Rozwoju,ŚLĄSKIE,Częstochowa,Wały gen. Józefa Dwernickiego,11,42-202,150958.74
"P.H.U.""LAGUNA"" Jarosław Kocur",Rozbudowa kompleksu noclegowo-gastronomicznego Laguna. Rozszerzenie działalności o wynajem sprzętu rekreacyjnego i sportowego. w celu dywersyfikacji działalności gospodarczej.,ŚLĄSKIE,Niewiesze,Leśna,6,44-172,538683.3
Element Pub Benedykt Wycisk,Dywersyfikacja działalności Element Pub Pub Benedykt Wycisk i uodpornienie go na przyszłe kryzysy przez wprowadzenie do oferty usługi cateringowej - Region 4,OPOLSKIE,Dobrzeń Wielki,Strzelców Bytomskich,20,46-081,124660.1
NAS-TROJE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,"Dywersyfikacja działalności NAS-TROJE poprzez wprowadzenie nowej usługi cateringu dietetycznego w regionie 4 - województwa łódzkie, opolskie, śląskie",ŚLĄSKIE,Bielsko-Biała,Cechowa,6-8,43-300,324320.05
MATUSZEK WANDA GOSPODA U WANDZI I JĘDRUSIA,Mobilna gastronomia - rozwiązanie budujące odporność Gospody u Wandy i Jędrusia znajdującej się w Milówce w woj. śląskim,ŚLĄSKIE,Milówka,Graniczna,1,34-360,299570.31
GRUPA PLUS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,"Wprowadzenie do oferty nowych usług związanych z organizacją m.in. zajęć oraz wycieczek sportowych, rekreacyjnych i krajoznawczych w firmie GRUPA PLUS SP. z o.o. zlokalizowanej w Rudzie Śląskiej w województwie śląskim.",ŚLĄSKIE,Ruda Śląska,Edmunda Kokota,180,41-711,256021.47
POLONEZ S.C,"Rozszerzenie działalności firmy POLONEZ S.C. - stworzenie kawiarni ogrodowej z pijalnią czekolady . Region 4, województwo śląskie",ŚLĄSKIE,Tychy,Damrota,35,43-100,470089.5
SPORT KRZYSZTOF KUCZMIERCZYK,"Rozszerzenie działalności firmy ""Sport"" Krzysztof Kuczmierczyk i uodpornienie na wypadek kryzysów poprzez wprowadzenie do oferty usługi cateringu dietetycznego i menu dla aktywnych",ŚLĄSKIE,Szczyrk,Myśliwska,1,43-370,165907.52
ANNA SELMA AnnArt Coffee,Dywersyfikacja działalności gospodarczej branży HoReCa w regionie śląskim AnnArt Coffee,ŚLĄSKIE,Dąbrowa Górnicza,Aleja Tadeusza Kościuszki,24,41-300,84022.06
PUB PALERMO ARTUR POWROŹNIK,Inwestycja w całoroczny ogródek z wyposażeniem celem wzrostu konkurencyjności restauracji na rynku usług gastronomicznych.,ŚLĄSKIE,Sosnowiec,Dworska,15,41-219,82076.58
FHU BARTŁOMIEJ KORNACKI,Realizacja działań zmierzających do dywersyfikacji i wzrostu konkurencyjności przedsiębiorstwa w Mikołowie w branży gastronomicznej - region śląskim.,ŚLĄSKIE,Mikołów,Dzwonkowa,4,43-190,283950
Biuro Turystyczne WATRA Marek Gawłowski Spółka cywilna,Uruchomienie wypożyczalni rowerów elektrycznych w Wiśle (Region 4),ŚLĄSKIE,Wisła,Marii Konopnickiej,11,43-460,532752.41
U-H-G PIELICHOWSKI ANDRZEJ,"Rozwój Ośrodka Wczasowego ""AZALIA"" w Węgierskiej Górce w celu zwiększenia konkurencyjności i odporności prowadzonej działalności.",ŚLĄSKIE,Węgierska Górka,Za Torem,12,34-350,472029.52
EVENTLOGY SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,"Stworzenie ośrodka glampingowego w sercu natury – Eventlogy Oasis"". Region 4 województwo śląskie.",ŚLĄSKIE,Gliwice,Jana Pawła II,17,44-100,502537.49
Linga Expo Sp. z o. o.,Rozwój działalności Linga Expo Sp. z o. o. poprzez wdrożenie nowej usługi – Region 4,ŁÓDZKIE,Skierniewice,Jana III Sobieskiego,81,96-100,479760
"ALICJA Ghosh ""EURASIAN GLOBAL NETWORK""","Zwiększenie odporności przedsiębiorstwa ALICJA Ghosh ""EURASIAN GLOBAL NETWORK"" na sytuacje kryzysowe w wyniku rozszerzenia i dywersyfikacji prowadzonej działalności (REGION 4: województwo łódzkie)",ŁÓDZKIE,Łódź,Patrice Lumumby,10,91-404,478363.46
PRZEMYSŁAW DĄBROWSKI,Utworzenie kawiarni oraz wprowadzenie cateringu dietetycznego jako forma dywersyfikacji działalności PRZEMYSŁAW DĄBROWSKI w regionie 4 województwo śląskie.,ŚLĄSKIE,Knurów,ks. Alojzego Koziełka,20,44-190,229887.53
"PROCNER MIROSŁAW KARCZMA REGIONALNA ""U KAROLA""","Inwestycja na terenie województwa śląskiego (w Regionie 4) w zwiększenie odporności przedsiębiorstwa oraz rozszerzenie działalności gospodarczej o nowe usługi w Karczmie Regionalnej 'U Karola' poprzez rozbudowę oferty o zewnętrzne spa, profesjonalną organizację wydarzeń zamkniętych oraz modernizację infrastruktury rekreacyjnej, celem przyciągnięcia nowych klientów.",ŚLĄSKIE,Wisła,Kopydło,117,43-460,498157.76
"KRYSTYNA KORYTKOWSKA RESTAURACJA""KIM""","Poszerzenie oferty usług Restauracji KIM dzięki budowie całorocznego patio, poszerzenie oferty gastronomicznej z uwzględnieniem energooszczędnych rozwiązań, unowocześnienie strony internetowej i rozwój pracowników. Inwestycja w firmie, której siedziba jest zlokalizowana w województwie łódzkim.",ŁÓDZKIE,Gorzkowice,Zielona,49,97-350,115268.92
Firma Produkcyjno-Usługowo-Handlowa AMCO (FPUH AMCO) Arkadiusz Skoczek,Dywersyfikacja działalności przedsiębiorstwa FPUH Arkadiusz Skoczek o otwarcie kawiarni-bistro w województwie śląskim w ramach zwiększania konkurencyjności gospodarki i wspierania mikroprzedsiębiorstw (Region 4 - śląskie),ŚLĄSKIE,Częstochowa,al. Aleja Najświętszej Maryi Panny,27,42-202,415937.89
SYLWIA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Zwiększenie odporności i rozszerzenie działalności SYLWIA Sp. z o.o. poprzez dywersyfikację usług świadczonych w województwie śląskim,ŚLĄSKIE,Sośnicowice,Gliwicka,90,44-153,509940
MAŁA TOSCANA AGNIESZKA BONISŁAWSKA,Nowe horyzony innowacji - Nowoczesna strefa SPA i gastronomia w agroturystyce w woj. łódzkim. Rozbudowa usług działalności o strefę SPA oraz modernizacja gastronomii o nową usługę gastronomiczną na bazie kuchni toskańskiej.,ŁÓDZKIE,Łężki-Parcel,,2A,99-200,222452.95
GOLDEN FRUIT S.C. ALEKSANDER MASNY IZABELLA OTRĘBA,Uruchomienie palarni kawy w ramach dywersyfikacji i rozszerzenia działalności kawiarni Synergia Dobre Miejsce w Katowicach,ŚLĄSKIE,Jankowice,Sarenek,28,43-215,250619
P.H.U. MEGIFOOD Magdalena Ciompa,Dywersyfikacja działalności firmy P.H.U. MEGIFOOD Magdalena Ciompa z regionu woj. śląskiego poprzez wprowadzenie do oferty nowych usług,ŚLĄSKIE,Ustroń,Malinowa,15,43-450,312184.11
ARCHIBAR MARCIN STRZYŻEWSKI,Dywersyfikacja zakresu prowadzonej działalności o usługi cateringowe oraz organizację imprez okolicznościowych na terenie regionu nr 4 w woj. śląskim,ŚLĄSKIE,Katowice,Warszawska,29,40-009,499154.72
RESTAURACJA I HOTEL STARKA K.I.M. CEBULA SPÓŁKA JAWNA,Rozszerzenie działalności Restauracji i Hotelu Starka o usługi cateringowe - region opolski,OPOLSKIE,Opole,Ostrówek,19,45-082,518099.75
KARO Karol Krawczyk,Dywersyfikacja oferty handlowej w firmie KARO Karol Krawczyk,ŚLĄSKIE,Ostrowy nad Okszą,Zadworna,55,42-122,491400
Pizzeria Pod Drewnianym Bocianem Jakub Przepłata,Rozwój przedsiębiorstwa i zwiększenie odporności na kryzysy gospodarcze poprzez realizację przedsięwzięcia w Regionie 4 w województwie śląskim w sektorze HoReCa polegającego na wprowadzeniu nowych usług gastronomicznych.,ŚLĄSKIE,Ruda Śląska,Jana Karskiego,4,41-705,431487.76
APM PARTNERS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Rozszerzenie działalności firmy poprzez wdrożenie nowego projektu gastronomicznego w postaci usługi serwowania kuchni japońskiej/azjatyckiej -ramen (Region nr 4),ŁÓDZKIE,Łódź,Targowa,35,90-043,135702.85
APM PARTNERS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Rozszerzenie działalności firmy poprzez wdrożenie nowego projektu gastronomicznego w postaci usługi serwowania kuchni japońskiej/azjatyckiej -ramen (Region nr 4),ŁÓDZKIE,Łódź,Targowa,35,90-043,135702.85
POL-ALPEX SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Poprawa konkurencyjności Hotelu Alpex poprzez inwestycje w dywersyfikacje źródeł przychodów,ŚLĄSKIE,Zabrze,Franciszkańska,8,41-819,532752.71
PHUG Grażyna Polak,Rozszerzenie i dywersyfikacja działalności Domu Wczasowego „Granit” poprzez wdrożenie do oferty Ośrodka nowych usług (Region 4 śląskie),ŚLĄSKIE,Zwardoń,,114B,34-373,419940
"PRZYSTAŃ ""LEŚNIÓW"" ANITA GARNCARZ",Poszerzenie oferty Firmy poprzez rozbudowę oferty noclegowej,ŚLĄSKIE,Żarki,Źródlana,5,42-310,406410
PAWOJ Wojciech Kulejewski,Dywersyfikacja działalności kawiarni Caramelito - wprowadzenie nowych produktów i usług restauracyjnych poprzez inwestycje w wysokiej jakości bazę usługowoprodukcyjną i podniesienie kwalifikacji kadry w Regionie nr 4 w województwie śląskim.,ŚLĄSKIE,Częstochowa,al. Aleja 11 Listopada,1,42-216,539914.5
Złote Arkady Marzanna Przerada,Inwestycje w obiekcie gastronomicznym w województwie śląskim,ŚLĄSKIE,Częstochowa,Tadeusza Boya-Żeleńskiego,12,42-217,464531.42
APF Aleksandra Kos,Dywersyfikacja i rozszerzenie profilu dotychczasowej działalności APF Aleksandra Kos na terenie województwa opolskiego - Region 4.,OPOLSKIE,Opole,Stanisława Mikołajczyka,2,45-271,483114.14
POD DREWNIANYM BOCIANEM TOMALA - KAŹMIERCZYK SPÓŁKA CYWILNA,Rozszerzenie działalności spółki POD DREWNIANYM BOCIANEM TOMALA KAŹMIERCZYK SPÓŁKA CYWILNA celem zwiększenia jej odporności na sytuacje kryzysowe - woj. śląskie,ŚLĄSKIE,Katowice,Gliwicka,49,40-853,507545.78
Karolina Muskietorz,"Inwestycja w istniejącą działalność gastronomiczną lokal Zaje Bistro polegającą na rozszerzeniu oferty o nowe produkty, Dodatkowo dywersyfikacja działalności polegająca na poszerzeniu działalności o kupno i wynajem sprzętu rekreacyjnego i sportowego. Miejsce inwestycji Zabrze woj. Śląskie",ŚLĄSKIE,Zabrze,Stanisława Morciszka,14,41-809,539910
SANGOS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Kawiarnia i ogród zimowy z dodatkową przestrzenią na usługi cateringu oraz strefa basenowa - jako centrum integracji i rozwoju społeczności lokalnej. Region 4 województwo śląskie.,ŚLĄSKIE,Górki Wielkie,Zofii Kossak,43,43-436,526868
MSWIA S.C. MACIEJ BARTKOWSKI JERZY PENDERECKI,Rozszerzenie i dywersyfikacja MSWIA S.C. poprzez uruchomienie nowych usług w Gliwicach,ŚLĄSKIE,Gliwice,Raciborska,2,44-100,539983.04
PRIMO MAGDALENA PLUCIAK," KATARZYNA PLUCIAK SPÓŁKA CYWILNA,Rozszerzenie i dywersyfikacja działalności restauracji PRIMO",ŚLĄSKIE,Czaniec,Bratnia,1C,43-354,397787.97
VESTIL HOTEL SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,"Inwestycje w produkty, usługi i kompetencje pracowników oraz kadry związane z dywersyfikacją działalności Hotelu Vestil w Piotrkowie Tryb",ŁÓDZKIE,Piotrków Trybunalski,Al. Armii Krajowej,22c,97-300,291051.17
MARKAN," Mariusz Kania, Restauracja TWOJE SMAKI,Otwarcie nowego punktu gastronomicznego przez MARKAN, Mariusz Kania, Restauracja TWOJE SMAKI w regionie 4 obejmującym województwa łódzkie, opolskie i śląskie poprzez zakup środków trwałych.",OPOLSKIE,Opole,Kazimierza Sosnkowskiego,16,45-267,459924.28
Barbara Kożuch „KMICIC”,Wprowadzenie nowych usług w obszarze cateringu i wynajmu pokoi sposobem na dywersyfikacje działalności,ŚLĄSKIE,Blachownia,Leśna,14,42-290,409094.1
Paweł Palichleb,Dywersyfikacja i rozszerzenie działalności firmy Paweł Palichleb na terenie województwa śląskiego oraz zwiększenie odporności przedsiębiorstwa na sytuacje kryzysowe.,ŚLĄSKIE,Kraków,Przewóz,49,30-721,443305.91
"Alicja Soluch Kawiarnia ""Czekoladowa Nuta""",Modernizacja i dywersyfikacji działalności Kawiarni Czekoladowa Nuta,ŚLĄSKIE,Częstochowa,al. Aleja Najświętszej Maryi Panny,71,42-217,423269.28
Tu Kuba s.c. Agnieszka Pisarzewska-Kuzańska," Franciszek Kuzański,Inwestycja w dywersyfikację działalności firmy sektora HoReCa z regionu łódzkiego",ŁÓDZKIE,Łódź,Parafialna,8,94-235,357507.16
ARTin spółka cywilna Krzysztof Kasprzyk," Tomasz Bartniczak, Michał Kaczmarczyk,Druidowy Catering na Śląsku. Druid na wyciągnięcie ręki.",ŚLĄSKIE,Ruda Śląska,Chorzowska,3,41-709,435915.9
Marcin Morawiec FIRMA VERONA,Dywersyfikacja działalności restauracji Verona w Krapkowicach - region opolski,OPOLSKIE,Krapkowice,Podgórna,4,47-300,512862.94
MAGMA Magdalena Pająk,"Rozszerzenie działalności firmy ""MAGMA"" Magdalena Pająk o nową usługę - catering lunchowy z dostawą dla lokalnej społeczności Bielska-Białej. Region 4 - woj. śląskie",ŚLĄSKIE,Bielsko-Biała,1 Maja,20,43-300,428400
"RAFAŁ RYSZELEWSKI USŁUGI TURYSTYCZNE ""RAFT","Dywersyfikacja i rozszerzenie działalności Biura Turystycznego RAFTUR o nowe usługi wraz z transformacją cyfrową i ekologiczną firmy, zmierzającą do zwiększającą konkurencyjność i odporność na przyszłe kryzysy firmy w województwie Łódzkim (Region 4)",ŁÓDZKIE,Łódź,Ignacego Paderewskiego,33,93-523,406298.25
ALC Firma Handlowo-Usługowa Aleksander Chaba,Dywersyfikacja działalności poprzez wprowadzenie nowych innowacyjnych usług wynajmu symulatora gry w golfa i nauki gry w bilarda dla dzieci i młodzieży,ŚLĄSKIE,Gliwice,Górnych Wałów,25,44-100,208952.39
"Restauracja ""U Jana"" Jan Patoła","Rozszerzenie działalności w Restauracji ""U Jana"" Jan Patoła o nowe usługi w regionie 4 (województwo opolskie) poprzez budowę 2 wiat oraz zakup środków trwałych i wartości niematerialnych i prawnych.",OPOLSKIE,Warmątowice,Strzelecka,2,47-100,471009.13
SECESJA Kulda Piestrzyński Spółka Jawna,Poszerzenie oferty firmy poprzez inwestycje w ŚT oraz WNiP,ŁÓDZKIE,Zduńska Wola,Królewska,19,98-220,205238.67
EKOVIVA ASTENIUSZ MYŚLIWIEC,Dywersyfikacja działalności Parku Rozrywki Park Korzonek i uodpornienie na przyszłe kryzysy poprzez wprowadzenie do oferty osobnego miejsca wypoczynku dla osób z małymi dziećmi i osób niepełnosprawnych,ŚLĄSKIE,Korzonek,,42,42-274,538170.35
Pracownia Tortów Artystycznych Katarzyna Brzezina,Dywersyfikacja działalności drogą do rozwoju Tartoletki (woj. śląskie),ŚLĄSKIE,Katowice,Graniczna,11,40-017,60044.4
S.C. IRENA STOMPOR BEATA GÓRNICZ HOTEL," RESTAURACJA „KONICZYNKA”,Dywersyfikacja działalności – „Chatka grillowa Koniczynka” – jako Nowa Usługa gastronomiczna. Inwestycja przy budynku hotelu Koniczynka, ul. Zjednoczenia 16B,43-250 Pawłowice, woj. Śląskie, REGION ŚLĄSKI",ŚLĄSKIE,Pawłowice,Zjednoczenia,16B,43-250,229434.71
RESTAURACJA STOKROTKA KRYSTYNA SUSS,"Rozszerzenie działalności poprzez wprowadzenie do oferty firmy własnych wyrobów cukierniczych realizowane przy wsparciu instalacji fotowoltaicznej i magazynu energii w restauracji Stokrotka, w powiecie Siemianowice Śląskie, województwo śląskie.",ŚLĄSKIE,Siemianowice Śląskie,Stawowa,2,41-103,278472.13
CENTRUM SPORTOWO-REKREACYJNE ZAWODZIE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOSCIĄ,SPA ZDROWIE Olympic - strefa poprawy kondycji fizycznej i regeneracji w Ustroniu w województwie śląskim - rozszerzenie i uzupełnienie usług hotelowych.,ŚLĄSKIE,Ustroń,dr Michała Grażyńskiego,10,43-450,540000
DRABEK SPÓŁKA JAWNA,FitSylwetka TG - Śląskie Centrum Modelowania Sylwetki,ŚLĄSKIE,Tarnowskie Góry,Skośna,15,42-600,539997.9
Zajazd Astoria Eugeniusz Stacha,"Dywersyfikacja działalności jako „Nowe doznania kulinarne” czyli rozbudowa zaplecza gastronomicznego celem wprowadzenia szkoleń i warsztatów dla przyszłych Kucharzy oraz wprowadzenie wysublimowanego menu dostępnego na miejscu oraz z dowozem (katering). Nowe Usługi w Zajeździe Astoria, ul. Wodzisławska 65, Mszana, Region Śląski.",ŚLĄSKIE,Mszana,Wodzisławska,65,55-325,517500
