Nazwa,Nazwa przedsięwzięcia,Miejsce Realizacji Województwo,Grantobiorca Miejscowość,Grantobiorca Ulica,Grantobiorca Nr budynku,Grantobiorca Kod pocztowy,Wartość wsparcia
PHU CRISTAL JAKUB KLOREK,"Rozszerzenie i dywersyfikacja działalności firmy PHU CRISTAL JAKUB KLOREK poprzez uruchomienie usług cateringowych, eventów w plenerze i wdrożenie systemu zamówień online w Regionie 1 uodparniających firmę na sytuacje kryzysowe tj. COVID-19",KUJAWSKO-POMORSKIE,Ostromecko,Bydgoska,8,86-070,524795.14
In-Puls Michał Gołębiecki,Wzmocnienie odporności oraz potencjału rozwojowego Firmy In-Puls poprzez dywersyfikację działalności w obszarze utworzenia wypożyczali jachtów żaglowych na terenie województwa zachodniopomorskiego,ZACHODNIOPOMORSKIE,Mierzyn,Nad Stobnicą,18a,72-006,540000
Z. & K. ŁATA S.C.,Zwiększenie odporności przedsiębiorstwa na sytuacje kryzysowe poprzez stworzenie oferty dla rodzin z dziećmi z udogodnieniami dla osób niedowidzących i niewidomych w tym: sworzenie 3 nowych apartamentów oraz wprowadzenie nowej usługi w formie sauny zewnętrznej skierowanej dla gości obiektu oraz dla klientów z zewnątrz.,ZACHODNIOPOMORSKIE,Trzebiatów,Lipowa,16,72-320,539803.85
P.H.U.HOŁOGA ANDRZEJ HOŁOGA,Dywersyfikacja działalności P.H.U.HOŁOGA ANDRZEJ HOŁOGA z kujawsko-pomorskiego poprzez wdrożenie usługi wynajmu łodzi elektrycznych,KUJAWSKO-POMORSKIE,Osówiec,Poziomkowa,2,86-014,527952.6
„ALBAX” Spółka z ograniczoną odpowiedzialnością,Dywersyfikacja w zakresie działalności gastronomicznej i hotelarskiej w Kielczance w Kołobrzegu w województwie zachodniopomorskim,ZACHODNIOPOMORSKIE,Kołobrzeg,Marii Rodziewiczówny,15,78-100,413235.24
HNC Henryk Nowak,Rozszerzenie działalności przedsiębiorstwa HNC Henryk Nowak z zachodniopomorskiego o pakiety wypoczynkowe z atrakcjami prozdrowowtnymi w miejscowości Gąski,ZACHODNIOPOMORSKIE,Wałcz,os. Osiedle Piastowskie,15,78-600,538624.8
MACH PIOTR VON MACH,Dywersyfikacja działalności Mach Piotr Von Mach poprzez inwestycje w woj. Pomorskim.,POMORSKIE,Banino,Lipowa,19,80-297,200700
EVENTS IN POLAND SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Dywersyfikacja oferty firmy o usługi noclegowe świadczone w województwie kujawsko- pomorskim (region nr 1),KUJAWSKO-POMORSKIE,Bydgoszcz,Marii Curie Skłodowskiej,10,85-094,393380
Baza Turystyczna “Ranczo” Danuta Nowak,Rozszerzenie oferty firmy Baza Turystyczna “Ranczo” Danuta Nowak z zachodniopomorskiego o nową usługę wynajmu pokoi całorocznych z wyżywieniem i innymi udogodnieniami na miejscu w obiekcie,ZACHODNIOPOMORSKIE,Strączno,,1W,78-642,532626.3
ALMAX ANNA MAŁOLEPSZA-PIĘCIAK,Inwestycja na terenie województwa zachodniopomorskiego (w Regionie 1) w zwiększenie odporności przedsiębiorstwa oraz rozszerzenie działalności gospodarczej o nowe usługi w Panorama Park prowadzonym przez ALMAX ANNA MAŁOLEPSZA-PIĘCIAK w Świnoujściu,ZACHODNIOPOMORSKIE,Świnoujście,Henryka Sienkiewicza,15,72-600,424611.55
FIRMA 1812 ARTUR MOSTOWY,Rozszerzenie i dywersyfikacja działalności przedsiębiorstwa Firma 1812 Artur Mostowy w województwie pomorskim polegające na uruchomieniu zewnętrznego SPA z rodzinną strefą wypoczynkową.,POMORSKIE,Orzech,Bytomska,27e,42-622,539199.88
USŁUGI HOTELARSKO-GASTRONOMICZNE PAWEŁ BYLICKI,"Inwestycja w województwie zachodniopomorskim w zwiększenie odporności przedsiębiorstwa oraz dywersyfikację usług w firmie Usługi Hotelarsko-Gastronomiczne Paweł Bylicki poprzez uruchomienie bistra z kinem, strefy rozrywki i wypożyczalni rowerów elektrycznych celem pozyskania nowych klientów.",ZACHODNIOPOMORSKIE,Pogorzelica,Słoneczna,2,72-351,460591.89
KARTUSKA AGENCJA REKLAMOWA BOŻENA WEROCHOWSKA,Zwiększenie odporności przedsiębiorstwa KARTUSKA AGENCJA REKLAMOWA BOŻENA WEROCHOWSKA na sytuacje kryzysowe w wyniku dywersyfikacji prowadzonej działalności (REGION 1: województwo pomorskie,POMORSKIE,Dzierżążno,Kartuska,17,83-332,473441.8
PEKARNIK Marcin Marciński,Dywersyfikacja i rozszerzenie działalności firmy PEKARNIK Marcin Marciński (województwo pomorskie) w kierunku nowych usług gastronomicznych oraz cateringowych wraz ze zwiększeniem odporności firmy na przyszłe kryzysy i zmniejszeniem wpływu przedsiębiorstwa na klimat i środowisko.,POMORSKIE,Reda,Ks. Józefa Poniatowskiego,21,84-240,214588.49
ALKA SUN RESORT SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,"Wzmocnienie przedsiębiorstwa Alka Sun Resort Spółka z o.o. poprzez dywersyfikację, nowe produkty/usługi. Projekt realizowany w regionie zachodniopomorskim.",ZACHODNIOPOMORSKIE,Ustronie Morskie,Wojska Polskiego,7,78-111,207786.91
KRAJAN SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,"Zakup jachtu motorowego w celu wprowadzenia i rozszerzenia działalności Firmy KRAJAN Czarter województwo kujawsko-pomorskie, REGION 1",KUJAWSKO-POMORSKIE,Odolion,Okrężna,28,87-700,536940
„SETA” – Jakub Jasiński,Dywersyfikację działalności i wprowadzenie nowych usług w firmie Seta – Jakub Jasiński w celu zwiększenie odporności branży gastronomicznej w województwie zachodniopomorskim na negatywne skutki zewnętrzne,ZACHODNIOPOMORSKIE,Szczecin,Aleja Wojska Polskiego,29,70-473,424919.32
D.P.S. SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA,Rozwój i dywersyfikacja działalności DPS Sp. z o.o. Sp. k. w regionie zachodniopomorskim poprzez wprowadzenie do oferty nowych usług gastronomicznych - obwoźnej sprzedaży lodów rzemieślniczych Eccolo,ZACHODNIOPOMORSKIE,Szczecin,Andrzeja Struga,15,70-777,413993.1
