Nazwa,Nazwa przedsięwzięcia,Miejsce Realizacji Województwo,Grantobiorca Miejscowość,Grantobiorca Ulica,Grantobiorca Nr budynku,Grantobiorca Kod pocztowy,Wartość wsparcia
Villa Aromat Spółka z ograniczoną odpowiedzialnością,Dywersyfikacja działalności Villa Aromat Sp. z o. o. i uodpornienie na przyszłe kryzysy poprzez wprowadzenie do oferty nowej usługi gastronomicznej - pizzerii,ŚWIĘTOKRZYSKIE,Włoszczowa,Jędrzejowska,81,29-100,293537.18
DOROTA DZIUBAN DOROTA ART,"Uodpornienie przedsiębiorstwa DOROTA DZIUBAN DOROTA ART na przyszłe kryzysy poprzez dywersyfikację oferty firmy w woj. podkarpackim, region nr 3.",PODKARPACKIE,Sanok,Śniegowa,33,38-500,391321.79
"PROJEKT 3P PAWLIK S., POCHWAŁA M., POPIEL J. SPÓŁKA CYWILNA","Wzmocnienie odporności na kryzysy firmy ""PROJEKT 3P PAWLIK S., POCHWAŁA M., POPIEL J. SPÓŁKA CYWILNA"" poprzez dywersyfikację oferty, woj. świętokrzyskie, region nr 3.",ŚWIĘTOKRZYSKIE,Kielce,Świętego Leonarda,15,25-311,234532.7
Biuro Podróży RADTUR Marek Wojnar,"Dywersyfikacja dotychczasowej działalności firmy, wprowadzenie nowej usługi do działalności usługowej firmy, celem zwiększenia konkurencyjności i odporności na przyszłe kryzysy w branży HoReCa.Realizacja przedsięwzięcia odbywać się będzie na terenie województwa podkarpackiego",PODKARPACKIE,Krosno,Naftowa,19,38-400,536609.7
JAMROZOWICZ Spółka Jawna,Rozszerzenie i dywersyfikacja działalności przedsiębiorstwa JAMROZOWICZ Spółka Jawna poprzez inwestycje w sektorze HoReCa dla Regionu 3 - województwo małopolskie.,MAŁOPOLSKIE,Rabka-Zdrój,Na Banię,16A,34-700,421867.31
2 W 1 KEBAB EWA SOWIŃSKA,Dywersyfikacja oferty przedsiębiorstwa 2 W 1 KEBAB EWA SOWIŃSKA poprzez wdrożenie działalności związanej z pozaszkolnymi formami edukacji sportowej oraz zajęć sportowych i rekreacyjnych w celu zwiększenia odporności przedsiębiorstwa na warunki kryzysowe,ŚWIĘTOKRZYSKIE,Końskie,Spółdzielcza,pawilon 1,26-200,90289.61
"PPUH ""JM-GRAB"" S.C. STANISŁAW JACEK"," RAFAŁ JACEK,Wzmocnienie odporności na kryzysy firmy PPUH ""JM-GRAB"" S.C. STANISŁAW JACEK, RAFAŁ JACEK poprzez dywersyfikację oferty, woj. podkarpackie, region nr 3.",PODKARPACKIE,Czudec,Jasielska,68,38-120,536569.76
ORION HOTEL MAZURY SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Uruchomienie wypożyczalni sprzętu wodnego sposobem na budowanie odporności ORION HOTEL MAZURY Sp. z o.o.,LUBELSKIE,Lublin,Pogodna,50a,20-337,536040
Przedsiębiorstwo Handlowe 'NIKOL' Jolanta Pokrywka,Dywersyfikacja działalności firmy Przedsiębiorstwo Handlowe 'NIKOL' Jolanta Pokrywka poprzez utworzenie bazy noclegowej i rekreacyjnej,PODKARPACKIE,Adamówka,,261,37-534,439560
MOTO-AGROMAX SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA,"Wzrost konkurencyjności Hotelu Grafit poprzez nową usługę organizacji imprez plenerowych, region świętokrzyski",ŚWIĘTOKRZYSKIE,Kostomłoty Pierwsze,Kielecka,120,26-085,443980.02
BIURO PODRÓŻY ODYSEUSZ S.C. SŁAWOMIR PIECHOWICZ," KRZYSZTOF SONIK,Gry miejsko-terenowe w systemie self guided jako nowy produkt/usługa firmy, podnosząca odporność na sytuacje kryzysowe i zwiększająca konkurencyjność w woj. małopolskim.",MAŁOPOLSKIE,Kraków,Konstantego Ildefonsa Gałczyńskiego,33,31-581,147405.96
"Firma Usługowa ""Agro-dom"" Grzelak Genowefa",Dywersyfikacja usług przedsiębiorstwa Agro-Dom poprzez uruchomienie wypożyczalni rowerów w woj podkarpackim (region 3),PODKARPACKIE,Mielec,Zwycięstwa,38A,39-300,82350
"HOTEL STODÓŁKA"" S.C. JAROSŁAW ŁĄCZKIEWICZ - IWONA BUCZYŃSKA","Stworzenie bezpiecznej przestrzeni pod organizację kolonii i obozów dla dzieci i młodzieży w Hotelu Stodółka, region świętokrzyski",ŚWIĘTOKRZYSKIE,Ćmińsk,Świętokrzyska,89,26-085,539982
"MARIA ROL-MATERNIA ""PODHALE"" NIERUCHOMOŚCI","Dywersyfikacja działalności firmy MARIA ROL-MATERNIA ""PODHALE"" NIERUCHOMOŚCI i uodpornienie na przyszłe kryzysy poprzez wprowadzenie nowej oferty usług całorocznego SPA w celu dotarcia do nowych grup odbiorców w woj. małopolskim - Region 3",MAŁOPOLSKIE,Maruszyna,os. Osiedle Stanki,56,34-424,474000
MARCIN ZBROSZCZYK - HARENDA; QINGA,"Dywersyfikacja działalności firmy MARCIN ZBROSZCZYK - HARENDA; QINGA poprzez wprowadzenie usługi wynajmu łodzi o napędzie bezemisyjnym wraz z transformacją cyfrową i ekologiczną firmy, zmierzającą do zwiększenia konkurencyjność i odporności na przyszłe kryzysy firmy w województwie podkarpackim (Region 3).",PODKARPACKIE,Tarnobrzeg,pl. Plac Bartosza Głowackiego,42,39-400,539859.6
O R I O N WIESŁAWA DOMARADZKA,Dywersyfikacja dotychczasowej działalności firmy O R I O N WIESŁAWA DOMARADZKA o usługi cateringowe skierowano do mieszkańców Sanoka oraz województwa Podkarpackiego (REGION 3).,PODKARPACKIE,Sanok,Stróżowska,19,38-500,540000
ANNA PIETRASZ,DYWERSYFIKACJA DZIAŁALNOŚCI FIRMY ANNA PIETRASZ POPRZEZ MODERNIZACJĘ OBIEKTU HOTELOWEGO W REGIONIE NR 3 - NA TERENIE WOJEWÓDZTWA PODKARPACKIEGO I WPROWADZENIE NOWEGO PRODUKTU PAKIETÓW KONFERENCYJNO - SZKOLENIOWYCH W MODELU B2B.,PODKARPACKIE,Rzeszów,Podpromie,12,35-051,348151.5
SEBASTIAN PRZYBYŁOWICZ ARTIS MACHINAE,Rozszerzenie oferty firmy SEBASTIAN PRZYBYŁOWICZ ARTIS MACHINAE o nowe usługi projekcji filmów - Województwo Świętokrzyskie,ŚWIĘTOKRZYSKIE,Masłów Drugi,Księdza Józefa Marszałka,206,26-001,119312.88
"WALDEMAR GAJOCH FIRMA PRODUKCYJNO-HANDLOWO-USŁUGOWA ""ELEGANT BANKIET""","Dywersyfikacja dotychczasowej działalności firmy WALDEMAR GAJOCH FIRMA PRODUKCYJNO-HANDLOWO-USŁUGOWA ""ELEGANT BANKIET"" poprzez wprowadzenie oferty cateringu skierowanej do mieszkańców województwa Małopolskiego (REGION 3).",MAŁOPOLSKIE,Marszowice,,15,32-010,536053.5
"SZCZEPAŃCZYK JOLANTA FIRMA GASTRONOMICZNA ""GRACJA""",Rozszerzenie działalności usługowej Restauracji „Gracja” w celu zwiększenia konkurencyjności i odporności Firmy na wypadek przyszłych kryzysów- region świętokrzyski.,ŚWIĘTOKRZYSKIE,Jędrzejów,Tadeusza pl. Tadeusza Kościuszki,19,28-300,227151
"Alicja Cienki Galicyjskie Gospodarstwo Gościnne Zajazd ""KARINO""",Dywersyfikacja usług Hotelu Karino Spa (województwo podkarpackie),PODKARPACKIE,Berezka,,30B,38-610,318590
Przedsiębiorstwo Usługowo Handlowe ROBPAS Robert Pasiek,"Wprowadzenie nowej usługi polegającej na Mobilnej Restauracji do działalności firmy ROBPAS, region świętokrzyski",ŚWIĘTOKRZYSKIE,Wolica,Szkolna,36,26-060,539992.39
CZTERY PORY ROKU Wynajem Pokoi Alicja Wolska,"Dywersyfikacja oferty przedsiębiorstwa CZTERY PORY ROKU Wynajem Pokoi Alicja Wolska, poprzez wprowadzenie usług cateringowych i serwowanie dań kuchni włoskiej, ze szczególnym uwzględnieniem pizzy włoskiej w celu zwiększenie konkurencyjności firmy i poprawie odporności na warunki kryzysowe.",LUBELSKIE,Janowiec,Radomska,29,24-123,185507.81
JAROSŁAW STAŃCZAK,"Inwestycje w województwie lubelskim, gm Garbów w rozwój i dywersyfikację firmy o usługi cateringowe PKD 56.21.Z Przygotowywanie i dostarczanie żywności dla odbiorców zewnętrznych (katering) oraz świadczenie nowych usług z dojazdem do klienta w oparciu o kod PKD 96.04.Z Działalność usługowa związana z poprawą kondycji fizycznej - celem zapewnienia większej dochodowości firmy i wzmocnienia odporności przedsiębiorstwa Jarosław Stańczak",LUBELSKIE,Leśce,,43,21-080,539910.14
M&S SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,"Rozszerzenie profilu dotychczasowej działalności przedsiębiorstwa M&S Sp. z o.o. poprzez inwestycje umożliwiające wdrożenie nowych usług, świadczonych w województwie podkarpackim",PODKARPACKIE,Rzeszów,Rymanowska,21,35-083,402933.25
POLCAMP Arkadiusz Polak,"Inwestycje w województwie lubelskim, gm Stężyca w celu świadczenia nowych usług - imprez plenerowych w oparciu o kod PKD 82.30.Z Działalność związana z organizacją targów, wystaw i kongresów celem zapewnienia większej dochodowości firmy i wzmocnienia odporności przedsiębiorstwa POLCAMP Arkadiusz Polak",LUBELSKIE,Stężyca,,2A,08-540,274587.81
"Restauracja Hotel ""IMPERIAL"" Anna Lesiak- Milczarek","Restauracja Hotel ""IMPERIAL"" Anna Lesiak- Milczarek",PODKARPACKIE,Jasło,św. Jana z Dukli,26,38-200,339197.04
Anna Czyszczoń,Dywersyfikacja działalności celem pozyskania nowych klientów oraz zwiększenia odporności na pojawiające się sytuacje kryzysowe- województwo świętokrzyskie,ŚWIĘTOKRZYSKIE,Nowy Korczyn,Stopnicka,16,28-136,537855
UZDROWISKO SOLEC-ZDRÓJ M. CZ. SZTUK SPÓŁKA JAWNA,"Dywersyfikacja działalności ""UZDROWISKO SOLEC-ZDRÓJ"" M. CZ. SZTUK SPÓŁKA JAWNA"" i uodpornienie na przyszłe kryzysy poprzez wprowadzenie do oferty nowej usługi (Region nr 3- woj. świętokrzyskie).",ŚWIĘTOKRZYSKIE,Solec-Zdrój,1 Maja,1,28-131,465298
EURO-TRANS LOGISTYKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,"Dywersyfikacja usług Hotelu Oskar w województwie lubelskim poprzez rozwój oferty rekreacyjno-rozrywkowej, w tym budowę nowoczesnej sali zabaw dla dzieci",LUBELSKIE,Puławy,Dęblińska,1,24-100,414000
Błażej Smyrgała,"Rozszerzenie i dywersyfikacja usług gastronomicznych i rekreacyjnych w obiekcie ""U Błażeja"" w woj. lubelskim.",LUBELSKIE,Drzewce-Kolonia,,67B,24-150,112702.66
"ZAJAZD ""LEŚNE KĄTY"" S.C. M. KUŁAGOWSKA"," T. WILK,Wzrost konkurencyjności Zajazdu Leśne Kąty przez poszerzenie oferty dla klientów poprzez wprowadzenie nowego produktu: organizowanie imprez plenerowych z cateringiem, dla regionu świętokrzyskiego.",ŚWIĘTOKRZYSKIE,Sudół,,3,27-400,540000
AM FRUIT Adam Miłoszewski,"Zwiększenie konkurencyjności firmy AM FRUIT poprzez wprowadzenie usług: wypożyczalni rowerów elektrycznych oraz ogrodu przyjaznego klientom, region świętokrzyski",ŚWIĘTOKRZYSKIE,Kielce,Jana Karskiego,36B,25-214,539894.43
Hurt-Detal Kwiaciarstwo ," Handel obwoźny, Mała gastronomia Regina Krawczyk,Zwiększenie odporności przedsiębiorstwa Hurt-Detal Kwiaciarstwo , Handel obwoźny, Mała gastronomia Regina Krawczyk na sytuacje kryzysowe poprzez zapewnienie możliwości jego rozwoju i rozszerzenia działalności – wprowadzenie na rynek nowej usługi gastronomicznej i nowych produktów gastronomicznych (region 3 – woj. podkarpackie)",PODKARPACKIE,Radymno,Budowlanych,5,37-550,269859.25
ALEMS TOMASZ SMELA,"Zwiększenie odporności firmy ""ALEMS"" TOMASZ SMELA na przyszłe kryzysy poprzez dywersyfikację oferty i wprowadzenie nowych usług, woj. Świętokrzyskie, region 3.",ŚWIĘTOKRZYSKIE,Ostrowiec Świętokrzyski,dr Adama Wardyńskiego,3,27-400,320584.92
PAPU Wojciech Gronczyński,Rozszerzenie i dywersyfikacja działalności firmy poprzez wzmocnienie prowadzonej działalności i wprowadzenie nowego produktu/usługi w celu zwiększenia odporności na sytuacje kryzysowe i zwiększenia konkurencyjności przedsiębiorstwa w woj. lubelskim,LUBELSKIE,Dęblin,"15 Pułku Piechoty ""Wilków""",15,08-530,525888.42
"Kamil Szwed Hotel-Restauracja-Bar ""RUDKA""","Rozwój firmy Hotel-Restauracja-Bar ""RUDKA"" poprzez wprowadzenie nowych usług, wzmocnienie kompetencji kadry i transformację cyfrową - dla regionu Świętokrzyskiego",ŚWIĘTOKRZYSKIE,Rudka,,4,27-415,210219.06
CLUB CAFE MARZENA SKIBA,CLUB CAFE MARZENA SKIBA,PODKARPACKIE,Lubaczów,Rynek,33,37-600,133893
"PRZEDSIĘBIORSTWO GASTRONOMICZNE ""POŁANIECKI"" ZBIGNIEW POŁANIECKI","Inwestycja firmy PRZEDSIĘBIORSTWO GASTRONOMICZNE ""POŁANIECKI"" ZBIGNIEW POŁANIECKI w ulepszenie infrastruktury kuchennej i wprowadzenie nowej usługi w Kielcach, w celu umocnienia pozycji rynkowej przedsiębiorstwa na wypadek sytuacji kryzysowych.",ŚWIĘTOKRZYSKIE,Kielce,Wesoła,51,25-363,229720.05
RENOMO JAKUB ROZBORSKI,Rozszerzenie działalności o nowe usługi treningowe,ŚWIĘTOKRZYSKIE,Kielce,Sandomierska,112,25-324,269853.88
Szkoła Sportu TURBO Karol Pocztarski,Rozszerzenie działalności Szkoły Sportu TURBO poprzez wdrożenie nowych usług wynajmu rowerów elektrycznych oraz zewnętrznej strefy wellness: sauna i balia jako przestrzeni rekreacyjnej w województwie lubelskim.,LUBELSKIE,Międzyrzec Podlaski,Tadeusza Kościuszki,1a,21-560,298639.77
FIRMA BUDOWLANA INSTAL JAR SPÓŁKA JAWNA I. JAROSZ ST. SŁOWIK.,"Konary Arena – całoroczne centrum sportów, rekreacji oraz kuchni regionalnej, województwo świętokrzyskie",ŚWIĘTOKRZYSKIE,Lenarczyce,,60,27-641,501060
BTM MALAWSKI SPÓŁKA JAWNA,Rozwój oferty firmy BTM MALAWSKI SPÓŁKA JAWNA w województwie lubelskim w ramach zwiększania konkurencyjności gospodarki i wspierania przedsiębiorstw (Region 3),LUBELSKIE,Lublin,Bronowicka,2,20-301,377473.38
FOOD HUB SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,"Dywersyfikacja działalności firmy FOOD HUB Sp. z o.o. działającej w obszarze województwa świętokrzyskiego - region 3 , poprzez poszerzenie oferty usługowej restauracji o nowe usługi organizacji przyjęć plenerowych oraz cateringowych dla podmiotów instytucjonalnych.",ŚWIĘTOKRZYSKIE,Kielce,Zagnańska,49,25-528,485129.7
ARTMAR SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Dywersyfikacja działalności ARTMAR Sp. z o.o. w celu rozbudowy i umocnienia pozycji w branży HoReCa w województwie lubelskim poprzez remont i wyposażenie budynku sali bankietowej MARZENIE,LUBELSKIE,Kłoczew,Długa,49,08-550,539952.92
KOSIK ŁUKASZ,wzmocnienie odporności przedsiębiorstwa poprzez wprowadzenie nowych usług i rozwój dotychczasowych,LUBELSKIE,Dratów,,8c,21-075,224148
PCM-Zygmunt Klimczuk,Mobilna wypożyczalnia e-bike.,LUBELSKIE,Lublin,"Józefa Franczaka ""Lalka""",43,20-325,189224.6
PHU PIERROT AGNIESZKA SZABAŁA,Dywersyfikacja przedsiębiorstwa PHU PIERROT Agnieszka Szabała poprzez wprowadzenie nowych usług,LUBELSKIE,Chełm,Hrubieszowska,102,22-100,263210.86
Hubert Sanecki,Rozszerzenie oferty firmy o nowej usługi kateringu,ŚWIĘTOKRZYSKIE,Kielce,Jana Nowaka-Jeziorańskiego,37,25-432,313636.5
"Joanna Łukawska - RESTAURACJA ""JOANNA""",Dywersyfikacja działalności poprzez wprowadzenie nowych usług - cateringu i organizacji imprez dla najmłodszych.,ŚWIĘTOKRZYSKIE,Samborzec,,203,27-650,309412.17
"F.G.H.U.""SMAKOSZ"" ARKADIUSZ GWIZDAŁA","Dywersyfikacja działalności w postaci całorocznego mobilnego punktu gastronomicznego w celu zwiększenia produktywności, konkurencyjności i odporności na kryzysy przedsiębiorstwa F.G.H.U.""SMAKOSZ"" ARKADIUSZ GWIZDAŁA w regionie 3 (podkarpackie)",PODKARPACKIE,Chrzanów,Władysława Broniewskiego,12,32-500,446088.92
FILOZOF DARIUSZ FILEK-ART,Dywersyfikacja działalności firmy FILOZOF DARIUSZ FILEK-ART o mobilną usługę projekcji filmów wraz z usługą gastronomiczną dla mieszkańców Lublina oraz województwa Lubelskiego (REGION 3).,LUBELSKIE,Lublin,Wschodnia,13,20-015,536115.6
Zakład opiekuńczo leczniczy ,", Idylla'' JOANNA NIEZBECKA-ZAJĄC,Dywersyfikacja działalności prowadzonej w sektorze HoReCa poprzez utworzenie centrum relaksu i zdrowia Idylla, w celu budowy odporności na przyszłe kryzysy.",LUBELSKIE,Łuszczów Drugi,,11d,20-258,515376
Jata Martyna Kowalczyk,"Wzrost odporności przedsiębiorstwa JATA Martyna Kowalczyk, na sytuacje kryzysowe poprzez dywersyfikację prowadzonej działalności w województwie lubelskim (region 3), dzięki wprowadzeniu nowej usługi kompleksowej organizacji szkoleń i konferencji.",LUBELSKIE,Łuków,Wójtostwo,23,21-400,532136.08
GRAAL Artur Wnuk,"Rozszerzenie i dywersyfikacja działalności firmy ""GRAAL"" Artur Wnuk poprzez inwestycje w nowe usługi i systemy organizacyjne",ŚWIĘTOKRZYSKIE,Sandomierz,Juliusza Słowackiego,37c,27-600,503318.76
Informiks - Henryk Bartnik,Dywersyfikacja działalności firmy Informiks - Henryk Bartnik i uodpornienie na przyszłe kryzysy poprzez wprowadzenie do oferty usługi wypożyczania rowerów elektrycznych - Region 3 województwo lubelskie,LUBELSKIE,Biłgoraj,Macieja Rataja,16,23-400,50454
TURCZYŃSKI GP Grzegorz Turczyński,Sandomierskie bajgle i nie tylko - dywersyfikacja działalności poprzez wprowadzenie nowych produktów,ŚWIĘTOKRZYSKIE,Sandomierz,Romana Koseły,18,27-600,206640
"Przepiórka Halina Dworek ""Przepiórka""",Zapewnienie odporności na sytuacje kryzysowe przedsiębiorstwa z województwa lubelskiego (region 3) poprzez inwestycję w nową bazę usługową.,LUBELSKIE,Szczekarków-Kolonia,,48,24-313,170906.4
"PRZEDSIĘBIORSTWO WIELOBRANŻOWE ""REWAL"" JAROSŁAW BERA","Bogata w Błonnik, Idealna na Przekąskę – Zdrowa Pizza Creative Catering przedsiębiorstwa REWAL z Kielc.",ŚWIĘTOKRZYSKIE,Kielce,Grochowa,12,25-606,194627.33
SKRZYPEK DOROTA FIRMA GASTRONOMICZNA,Wprowadzenie nowych usług i produktów oraz dywersyfikacja działalności w Firmie Gastronomicznej Dorota Skrzypek w województwie podkarpackim,PODKARPACKIE,Wiązownica,Radawska,19,37-552,423674.63
"FHU ""DIAN-POL"" Wiśniowski Krzysztof",Wprowadzenie nowych usług i produktów oraz dywersyfikacja działalności w Firmie FHU DIAN-POL w województwie podkarpackim,PODKARPACKIE,Zawierzbie,,85A,39-202,396796.68
"JOLANTA KONWISARCZYK ZAKŁAD HANDLOWO-USŁUGOWY ""TED & JOL""",Dywersyfikacja działalności firmy poprzez wprowadzenie nowych usług w województwie świętokrzyskim,ŚWIĘTOKRZYSKIE,Końskie,Leśna,48,26-200,333236.7
EURO-BAT-PIOTR SUDY,Rozszerzenie i dywersyfikacja działalności firmy EURO-BAT-PIOTR SUDY poprzez inwestycje w nowe usługi i systemy organizacyjne,ŚWIĘTOKRZYSKIE,Pęchów,,107A,27-640,503368.32
"ROBERT MARKOWSKI ""Pod Strzechą""","ROBERT MARKOWSKI ""Pod Strzechą""",LUBELSKIE,Łuków,Międzyrzecka,10,21-400,85635.24
KOBI SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Wzmocnienie odporności oraz potencjału rozwojowego KOBI SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ poprzez dywersyfikację działalności w obszarze cateringu oraz organizacji eventów na terenie województwa lubelskiego,LUBELSKIE,Lublin,Tadeusza Kościuszki,10,20-006,247114.8
Cezar Łuniewski Holding,Rozwój subskrypcji kawowej i firmowego cateringu kawowego w Rzeszowie,PODKARPACKIE,Rzeszów,Strażacka,21f,35-312,245244.24
Małgorzata Baj-Gołdyn UFO-BUFFO,"Dywersyfikacja działalności firmy UFO BUFFO na obszarze województwa lubelskiego – region 3, poprzez utworzenie nowej strefy wypoczynku ""Bajowe SPA""",LUBELSKIE,Dołhobrody,,125,22-220,488295
KATARZYNA PARKITA,"Rozszerzenie działalności Katarzyna Parkita o nową ofertę usługową wraz z zieloną transformacją firmy, zmierzającą do zwiększającą konkurencyjność i odporność na przyszłe kryzysy firmy w województwie świętokrzyskim(Region 3)",ŚWIĘTOKRZYSKIE,Marzysz Drugi (część miejscowości Marzysz),,35,26-021,491748.82
Barbara Travel Biuro Turystyczne spółka cywilna Barbara Wójtowicz," Katarzyna Wójtowicz, Stanisław Franiak,Dywersyfikacja działalności Biura Turystycznego Barbara Travel s.c. z siedzibą w Tarnowie, poprzez uruchomienie nowej działalności w zakresie wynajmu turystycznego obiektu noclegowego jako miejsca krótkoterminowego zakwaterowania -, prowadzonego pod numerem PKD 52.20.Z w oparciu o remont i adaptację nieruchomości położonej w regionie podkarpackim, w miejscowości Podlesie nr 27, gmina Pilzno, powiat dębicki , woj. podkarpackie.",PODKARPACKIE,Tarnów,Targowa,4,33-100,356022.82
MAXTA VELEV I MACIEJ SPÓŁKA JAWNA,Rozszerzenie działalności Hotel Classic o świadczenie usług z zakresu cateringu cukierniczego.,PODKARPACKIE,Rzeszów,al. Armii Krajowej,32,35-327,478570.62
Lucjan Bukryj Almatur Ośrodek Wypoczynkowy,Wzmocnienie odporności i konkurencyjności przedsiębiorstwa Lucjan Bukryj Almatur Ośrodek Wypoczynkowy w woj. lubelskim poprzez dywersyfikację w kierunku wprowadzenia nowej linii usług cateringowych,LUBELSKIE,Lublin,Mariana Langiewicza,10,20-035,323640
Hotel Wojto - Wojciech Cyc,Dywersyfikacja działalności firmy Hotel Wojto - Wojciech Cyc o usługi związane z wynajmem domku letniskowego wraz z dodatkową infrastrukturą w regonie 3 w województwie Lubelskim,LUBELSKIE,Wólka Panieńska,,21D,22-400,476834.4
PIECHOCKA TRAVEL JADWIGA PIECHOCKA,"Rozwój firmy PIECHOCKA TRAVEL JADWIGA PIECHOCKA. Projekt realizowany w regionie lubelskim obejmujący: dywersyfikację działalności, wprowadzenie nowych produktów i usług.",LUBELSKIE,Biała Podlaska,Warszawska,4,21-500,539983.94
Zajazd Królewski Małgorzata Macierzyńska,Dywersyfikacja działalności Zajazdu Królewskiego poprzez wprowadzenie nowej usługi i grupy nowych produktów,LUBELSKIE,Kłoczew,Długa,26,08-550,422790.48
PORTOFINO MAŁGORZATA STACHYRA,Rozszerzenie działalności firmy PORTOFINO MAŁGORZATA STACHYRA poprzez wprowadzenie nowej oferty usług cateringowych w regionie Lubelskim (region 3),LUBELSKIE,Lublin,Krężnicka,96A,20-518,235604.9
JERZY SKRABACZ,Rozszerzenie działalności Ośrodka GOŁOBORZE prowadzonego przez firmę Jerzy Skrabacz zlokalizowanego w Regionie 3 – świętokrzyskie,ŚWIĘTOKRZYSKIE,Kielce,Beskidzka,14,25-565,534352.5
GO FIT SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,"Dywersyfikacja działalności klubu sportowego GO FIT w Tarnobrzegu poprzez wprowadzenie nowych usług prozdrowotnych, rekreacyjnych oraz sportowych – województwo podkarpackie, region 3",PODKARPACKIE,Tarnobrzeg,Słomki Jana,1,39-400,209999.23
"STOWARZYSZENIE SZKOŁA PŁYWANIA ""ORKA""",Dywersyfikacja działalności Szkoły Pływania ORKA w województwie warmińsko-mazurskim celem pozyskania szerszej grupy odbiorców i zwiększenia odporności na sytuacje kryzysowe,WARMIŃSKO-MAZURSKIE,Iława,Chełmińska,1,14-200,532350
"BIURO PODRÓŻY ""ŚWIAT"" BARBARA JANUSZKO","Wprowadzenie nowych usług, w zakresie wypożyczania sprzętu turystycznego i organizacji wypraw rowerowych i rejsów żeglarskich, zapewniających dywersyfikację przychodów oraz wzrost odporności i konkurencyjności Biura Podróży ""ŚWIAT"" Barbara Januszko działającego na obszarze województwa warmińsko-mazurskiego.",WARMIŃSKO-MAZURSKIE,Pisz,Okopowa,3a,12-200,509940
FOOD DESIGN SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Zakup maszyn i urządzeń niezbędnych do wprowadzenia na rynek nowych usług w postaci dań gotowych.,MAZOWIECKIE,Warszawa,Janinówka,17,03-562,473842
Kamil Kwiatkowski SZKOŁA PŁYWANIA PŁASZCZKA,Rent & Play Fabryka sportowo-rekreacyjna dla dużych i małych w województwie mazowieckim,MAZOWIECKIE,Nowy Dwór Mazowiecki,Wojska Polskiego,27,05-101,306026.76
ARKADIUSZ MOTYLIŃSKI,Rozwój i dywersyfikacja działalności firmy Arkadiusz Motyliński,MAZOWIECKIE,Piaseczno,Liliowa,37,05-500,312435.72
GASTRO STREFA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Dywersyfikacja działalności firmy Gastro Strefa,PODLASKIE,Białystok,Jana Kilińskiego,9a,15-089,244131.87
"FIRMA HANDLOWO-USŁUGOWA ""GO"" MAŁGORZATA SZYBOWSKA","Zwiększenie odporności firmy FIRMA HANDLOWO-USŁUGOWA ""GO"" MAŁGORZATA SZYBOWSKA prowadzającej działalność w regionie warmińsko-mazurskim poprzez dywersyfikację działalności oraz wprowadzenie nowych usług.",WARMIŃSKO-MAZURSKIE,Iława,Mikołaja Kopernika,4A,14-200,473930.64
RAFAŁ BARBACHOWSKI OMEGA,Mobilne pokoje hotelowe OMEGA. Region 2 - woj. mazowieckie,MAZOWIECKIE,Białki,Łukowska,111,08-110,414000
DOLINA BIEBRZY Robert Dembowski,"Poszerzenie profilu prowadzonej działalności o mobilną wypożyczalnię sprzętu turystyczno-rekreacyjnego z siedzibą zlokalizowaną w województwie podlaskim, powiecie moniecki, gminie Goniądz.",PODLASKIE,Wroceń,,44,19-110,399624.39
BUSINESSMAN FUN CLUB SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,"„Rozszerzenie działalności Hotelu BoniFaCio SPA&Sport Resort dzięki przebudowie istniejącego zewnętrznego basenu sportowego na basen rekreacyjny podgrzewany energią pochodzącą z kogeneracji – Region 2, województwo mazowieckie.”",MAZOWIECKIE,Warszawa,Drawska,22,02-202,419939.99
DOLCE VITA SYLWIA ROZWADOWSKA,"Wzrost odporności i konkurencyjności firmy ""Dolce Vita"" Sylwia Rozwadowska poprzez inwestycję w dywersyfikację usług polegającą na stworzeniu usługi cateringowej w województwie warmińsko-mazurskim.",WARMIŃSKO-MAZURSKIE,Lidzbark Warmiński,Adama Mickiewicza,9,11-100,441161.49
GYMBOX Dariusz Tomczak,Dywersyfikacja działalności firmy GYMBOX Dariusz Tomczak realizowana w regionie warmińsko-mazurskim,WARMIŃSKO-MAZURSKIE,Lidzbark Warmiński,Szwoleżerów,25A,11-100,101365.16
